,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_notes
246,PNF22 PORTABLE,TR168,-120.562164,39.904083,5947,6.1,2,America/Los_Angeles,3/3/2003 0:00,10/20/2017 19:41, 
245,MOUNT TOM,MMTC1,-119.179267,37.376419,8982,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 18:52, 
244,MOUNT ELIZABETH,MOUC1,-120.247253,38.062925,4942,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:02, 
243,SQF01 PORTABLE (JORDAN PK,TR165,-118.597825,36.18175,9110,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:48, 
242,MNF02 PORTABLE,TR164,-122.9397,39.308283,3740,6.1,2,America/Los_Angeles,1/14/2002 0:00,10/20/2017 18:53, 
241,MNF01 PORTABLE,TR163,-122.645383,39.231683,2880,6.1,2,America/Los_Angeles,8/21/2001 0:00,10/20/2017 18:53, 
305,MIDDLE PEAK,MDEC1,-122.587222,37.927778,2339,6.1,2,America/Los_Angeles,5/17/2004 0:00,10/20/2017 19:36, 
240,Mendocino Pass,MASC1,-122.945111,39.807417,5382,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:04, 
238,SHF07 PORTABLE,TR158,-121.7625,41.432028,4827,6.1,2,America/Los_Angeles,9/24/2001 0:00,10/20/2017 19:28, 
237,SRF53 PORTABLE,LYEC1,-123.5857,40.890733,585,6.1,2,America/Los_Angeles,4/17/2002 0:00,10/20/2017 19:46, 
236,LNF04 PORTABLE,TR147,-120.8952,40.648983,5912,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:35, 
235,KONOCTI,KELC1,-122.706314,38.911889,2163,6.1,2,America/Los_Angeles,12/11/2001 0:00,10/20/2017 18:57, 
234,HURLEY,PRHC1,-119.5678,37.015144,1228,6.1,2,America/Los_Angeles,12/11/2001 0:00,10/20/2017 19:27, 
233,HOOPA,HOAC1,-123.671278,41.047833,375,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:40, 
232,GASQUET 2,GQEC1,-123.945389,41.838333,452,6.1,2,America/Los_Angeles,1/1/1970 0:00,10/20/2017 18:50, 
231,FORT HUNTER LIGGET,FHLC1,-121.241681,36.011753,1116,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:25, 
239,MCGUIRES,MCGC1,-123.601575,39.352617,627,6.1,2,America/Los_Angeles,12/11/2001 0:00,10/20/2017 18:50, 
272,BIG SUR,PPSC1,-121.78015,36.245356,354,6.1,2,America/Los_Angeles,8/7/2001 0:00,10/20/2017 19:04, 
250,OWENS VALLEY,OVRC1,-118.552572,37.391006,4650,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 18:54, 
252,PNF23 PORTABLE,TR181,-121.221381,40.0219,2600,6.1,2,America/Los_Angeles,8/13/2001 0:00,10/12/2017 17:27, 
270,WHISKEYTOWN HQ#2,OBRC1,-122.527314,40.610514,1360,6.1,2,America/Los_Angeles,8/7/2001 0:00,10/20/2017 19:00, 
269,HIGH SIERRA,HSQC1,-119.039303,37.314661,7431,6.1,2,America/Los_Angeles,1/1/1970 0:00,10/20/2017 18:51, 
268,LAYTONVILLE,LAYC1,-123.484906,39.702328,1820,6.1,2,America/Los_Angeles,7/12/2001 0:00,10/20/2017 19:29, 
267,EEL RIVER CAMP,ERCC1,-123.823758,40.138375,476,6.1,2,America/Los_Angeles,7/10/2001 0:00,10/20/2017 19:28, 
266,MIAMI,MIAC1,-119.745442,37.419253,4267,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 18:59, 
265,MULE MOUNTAIN,MMOC1,-122.503056,40.569167,2044,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:00, 
264,MDF03 PORTABLE,TR200,-121.407778,41.622972,4700,6.1,2,America/Los_Angeles,6/26/2001 0:00,10/20/2017 19:05, 
