,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_state,stn_county,stn_cwa,stn_notes
500,Graham Hill Road,PG474,-122.03526,37.01214,452.0,10.0,229,America/Los_Angeles,2019-07-08 18:14:00,2019-10-09 19:20:00,CA,Santa Cruz,MTR, 
378,Grand Oak Road,PG297,-121.38771,39.47524,1585.0,10.0,229,America/Los_Angeles,2019-05-08 06:14:00,2019-10-09 19:20:00,CA,Butte,STO, 
127,Grass Valley Ne,PG026,-120.94448,39.30902,3410.0,10.0,229,America/Los_Angeles,2018-06-13 19:54:00,2019-10-09 19:10:00,CA,Nevada,STO, 
335,Gray Flats Sub,PG292,-121.06455,40.02061,2787.0,10.0,229,America/Los_Angeles,2019-04-24 18:14:00,2019-10-09 19:20:00,CA,Plumas,STO, 
330,Greenwood Road,PG248,-123.58005,39.10359,1132.0,10.0,229,America/Los_Angeles,2019-04-19 06:14:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
501,Greenwood Road West,PG485,-123.65006,39.13192,1189.0,10.0,229,America/Los_Angeles,2019-07-09 15:14:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
550,Grindlay Ranch Road,PG578,-121.88076,40.64935,2523.0,10.0,229,America/Los_Angeles,2019-08-08 00:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
461,Grist Road,PG420,-119.92223,37.4414,2392.0,10.0,229,America/Los_Angeles,2019-06-06 03:14:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
109,Grizzly Peak Blvd,PG054,-122.22115,37.86511,1475.0,10.0,229,America/Los_Angeles,2018-06-08 15:44:00,2019-10-09 19:20:00,CA,Contra Costa,MTR, 
582,Gunsight Fire Road,PG601,-122.63212,38.02503,1149.0,10.0,229,America/Los_Angeles,2019-08-20 18:34:00,2019-10-09 19:20:00,CA,Marin,MTR, 
15,Half Moon Bay Airport,KHAF,-122.4996,37.5136,65.0,10.0,1,America/Los_Angeles,2010-01-19 00:00:00,2019-10-09 19:20:00,CA,San Mateo,MTR, 
580,Hamilton Branch,PG600,-121.2135,40.31308,4508.0,10.0,229,America/Los_Angeles,2019-08-20 18:14:00,2019-10-09 19:20:00,CA,Plumas,STO, 
475,Hawkeye Road,PG433,-120.58366,38.6546,3226.0,10.0,229,America/Los_Angeles,2019-06-19 03:14:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
453,Hawver Road,PG397,-120.66231,38.26139,1340.0,10.0,229,America/Los_Angeles,2019-06-01 15:14:00,2019-10-09 19:20:00,CA,Calaveras,STO, 
601,Healdsburg Hill,PG553,-122.75877,38.64986,755.0,10.0,229,America/Los_Angeles,2019-08-26 03:24:00,2019-10-09 19:20:00,CA,Sonoma,MTR, 
338,Healdsburg Hills North,PG303,-122.76001,38.72973,2480.0,10.0,229,America/Los_Angeles,2019-04-25 18:14:00,2019-10-09 19:20:00,CA,Sonoma,MTR, 
494,Heidi Lane,PG443,-124.0912,40.26213,2357.0,10.0,229,America/Los_Angeles,2019-07-03 21:14:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
368,Heller Vineyard,PG325,-121.6468,36.38912,1317.0,10.0,229,America/Los_Angeles,2019-05-08 19:44:00,2019-10-09 19:20:00,CA,Monterey,MTR, 
298,Hennessy Road South,PG255,-122.34172,38.50938,1482.0,10.0,229,America/Los_Angeles,2019-04-09 13:24:00,2019-10-09 19:20:00,CA,Napa,MTR, 
463,Heritage Lane,PG413,-120.00473,37.44911,1625.0,10.0,229,America/Los_Angeles,2019-06-07 03:14:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
89,Highland Peak Road,PG002,-121.80533,37.81296,2490.0,10.0,229,America/Los_Angeles,2018-05-11 22:07:00,2019-10-09 15:10:00,CA,Contra Costa,MTR, 
340,Highway 101 Hilltop,PG284,-123.04624,38.89992,990.0,10.0,229,America/Los_Angeles,2019-04-26 22:04:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
292,Highway 128 Mendocino,PG256,-123.47523,39.08771,222.0,10.0,229,America/Los_Angeles,2019-04-02 06:14:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
131,Highway 128 Sonoma,PG038,-122.64206,38.60312,684.0,10.0,229,America/Los_Angeles,2018-06-15 17:24:00,2019-10-09 19:20:00,CA,Napa,MTR, 
628,Highway 152,PG547,-121.36751,37.00938,522.0,10.0,229,America/Los_Angeles,2019-09-11 18:14:00,2019-10-09 19:20:00,CA,Santa Clara,MTR, 
629,Highway 162,PG540,-122.45331,39.58987,619.0,10.0,229,America/Los_Angeles,2019-09-11 21:24:00,2019-10-09 19:20:00,CA,Glenn,STO, 
631,Highway 198-1,PG528,-120.76292,36.19384,2761.0,10.0,229,America/Los_Angeles,2019-09-13 00:14:00,2019-10-09 18:40:00,CA,Monterey,MTR, 
423,Highway 20,PG379,-123.44734,39.39268,1916.0,10.0,229,America/Los_Angeles,2019-05-23 21:14:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
528,Highway 299 Towers,PG499,-121.48263,41.00319,4415.0,10.0,229,America/Los_Angeles,2019-07-26 03:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
366,Highway 36,PG344,-121.49542,40.36139,4922.0,10.0,229,America/Los_Angeles,2019-05-03 14:44:00,2019-10-09 19:20:00,CA,Tehama,STO, 
321,Highway 36,PG250,-123.52379,40.46042,2778.0,10.0,229,America/Los_Angeles,2019-04-15 20:24:00,2019-10-09 19:20:00,CA,Trinity,EKA, 
511,Highway 41,PG465,-119.64227,37.34948,2389.0,10.0,229,America/Los_Angeles,2019-10-09 12:59:34.051381,2019-10-09 12:59:34.051385,CA,,, 
570,Hildreth,PG484,-119.59661,37.09008,1941.0,10.0,229,America/Los_Angeles,2019-08-16 18:14:00,2019-10-09 19:20:00,CA,Madera,HNX, 
590,Hillcrest Drive,PG603,-122.40608,40.00538,705.0,10.0,229,America/Los_Angeles,2019-08-26 15:04:00,2019-10-09 19:20:00,CA,Tehama,STO, 
356,Hodson Road,PG334,-120.66413,37.97922,965.0,10.0,229,America/Los_Angeles,2019-05-01 18:14:00,2019-10-09 19:20:00,CA,Calaveras,STO, 
334,Hog Ranch Road,PG230,-122.19548,38.21397,536.0,10.0,229,America/Los_Angeles,2019-04-24 18:14:00,2019-10-09 19:20:00,CA,Napa,MTR, 
93,Hogback Road,PG006,-122.57871,37.91166,1033.0,10.0,229,America/Los_Angeles,2018-05-11 22:24:00,2019-08-16 01:20:00,CA,Marin,MTR, 
